Business_ID,Cuisine
ynIx549QFj29o84y1RSGyw,chinese
_WXa2M3gz2Mi0ys3s88nDw,chinese
gXuKTGiI6-rwiKGN8iGWZg,chinese
hWkbadE0u-Eiqg9SAm176Q,chinese
tguMh2GgOcU9fu6WN3dqpw,chinese
Jn_p5WaprUY3Ql_539gsWw,chinese
1YGpTYD8xIuUpK_beMhzSw,chinese
g42C_GsiLWzbVY2OZQsoyw,chinese
4cP9IJekfdFmx8vpMVoY9Q,chinese
9gktK6DNHb3k0y-o6nP7pA,chinese
mRhPjOOf17Q-a8CwLbmBvA,chinese
PBh9J_5HF8dtg2MTTUqVnw,chinese
b7uTP_afs5Gkf66K7yDl-w,chinese
_7rU61c3WTVfPS_-FNup8g,chinese
RoXFN-T1s6moM5smbY_5Gw,chinese
-lgNzAEyFr8LCTuBTWnAMg,chinese
lmiwPS9tl3cyMDGDeVstqQ,chinese
ak9vroilf-vpA_GSNWX2Jg,chinese
wPL0epJzosoFRYox1a5lvA,chinese
wobICp6lQP7Y6dfnJ_4Ujw,chinese
BAKjtydOJj6KrsGCo-6DEQ,chinese
cWPdP8_GqEWxZKRiOonfDg,chinese
AbfZkSRMtiHE3naWrN-0Eg,chinese
uaFHoq-a5XqxF-bsOK9_Qg,chinese
YIwYw_A_LRwK66HBTzogYQ,chinese
neQM053ovAOrf1sVSAPI9w,chinese
9FwX2ye1eCxnPVoQOHHr3g,chinese
DKGUSLiqNchBNatKoPM9QQ,chinese
hNLfVfnhexy7qegeYY6tkQ,chinese
GmtybiZEicQ4qqPTzhqVew,chinese
3DmJv5rHFNyQykaUiXBOvA,chinese
NebgteFykeM1gwiVgPcCHw,chinese
g_5V15Xp1OvB1QXuGMstYA,chinese
ZwSGKO5hy4tbW6528qEgkQ,chinese
4--r7DCu5l9UEIjs4OwKSQ,chinese
Ece_DRuD1yQjRPJBAebRpw,chinese
7vFjXvrKINtU3OV4TPqsJQ,chinese
EmJ7rfmv2y6lQZxgA8U__g,chinese
aije_BqBVVl-6T13QsnRqQ,chinese
ovOupYdkZOWUeDMOdt--ng,chinese
eN7MYNtDzaMzk4WptrVw3A,chinese
x3_DaW2lWCNovheuZV_nAw,chinese
T-EvW9maBebxjs4WPZNpNg,chinese
53lgp8fFEuK3Yo7yeXc89A,chinese
Ri0hq80RV6yrPDHmW4Gu3g,chinese
Qn-qGoIkj-9uApdxb_VTeA,chinese
XzMVQtnifzlFoq6Uj4795g,chinese
SMImQM_JfZkIZwflTgOAoQ,chinese
vkgl6UT8e7PXoVZUhxXq8w,chinese
YoGcGxo9JxE7NtmMtPaNng,chinese
